Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
86777,498,3e-06,0.00073,0.00200803
80266,498,2e-06,0.00073,0.00200803
71580,498,3e-06,0.000976,0.00200803
94882,498,3e-06,0.00095,0.00200803
1,498,5e-06,0.000749,0.00803213
45564,498,4e-06,0.000738,0.00200803
6,498,7e-06,0.00069,0.0120482
7,498,6e-06,0.000709,0.0140562
19,498,1.1e-05,0.000696,0.0381526
28,498,1.7e-05,0.000684,0.0562249
76422,498,2e-06,0.000685,0.00200803
45516,498,3e-06,0.000685,0.00200803
86524,498,3e-06,0.000706,0.00200803
16,498,1.3e-05,0.000682,0.0321285
8417,498,2e-06,0.000685,0.00200803
79,498,5e-05,0.000685,0.158635
59249,498,1e-06,0.000955,0.00200803
