Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
470212,2991,5e-06,0.005238,0.000334336
109660,2991,3e-06,0.004555,0.000334336
380053,2991,6e-06,0.007006,0.000334336
96608,2991,5e-06,0.006431,0.000334336
155861,2991,4e-06,0.004965,0.000334336
466560,2991,6e-06,0.005756,0.000334336
469191,2991,6e-06,0.006892,0.000334336
312461,2991,5e-06,0.005414,0.000334336
62,2991,7e-06,0.004348,0.000668673
734109,2991,4e-06,0.006176,0.000334336
726457,2991,4e-06,0.005094,0.000334336
516419,2991,4e-06,0.004512,0.000334336
299801,2991,6e-06,0.005904,0.000334336
700821,2991,5e-06,0.006292,0.000334336
336644,2991,6e-06,0.006829,0.000334336
448765,2991,6e-06,0.005238,0.000334336
522221,2991,5e-06,0.004542,0.000334336
603388,2991,4e-06,0.005928,0.000334336
1,2991,1.2e-05,0.007075,0.000334336
441088,2991,5e-06,0.006801,0.000334336
42824,2991,6e-06,0.005757,0.000334336
1,2991,8e-06,0.006777,0.000334336
407730,2991,5e-06,0.005341,0.000334336
10,2991,1.9e-05,0.004851,0.00334336
650125,2991,5e-06,0.005992,0.000334336
153057,2991,6e-06,0.00679,0.000334336
172624,2991,6e-06,0.006866,0.000334336
370351,2991,6e-06,0.004724,0.000334336
435245,2991,5e-06,0.005342,0.000334336
659627,2991,6e-06,0.005261,0.000334336
10,2991,1.5e-05,0.004348,0.00334336
1,2991,7e-06,0.006804,0.00100301
586991,2991,4e-06,0.006983,0.000334336
312125,2991,6e-06,0.005576,0.000334336
433,2991,1.1e-05,0.006724,0.00100301
579012,2991,3e-06,0.006493,0.000334336
3190,2991,5e-06,0.004658,0.000334336
629957,2991,4e-06,0.004435,0.000334336
590251,2991,4e-06,0.006108,0.000334336
349807,2991,4e-06,0.004363,0.000334336
1,2991,4e-06,0.004259,0.000668673
506994,2991,5e-06,0.00613,0.000334336
1,2991,9e-06,0.004379,0.00133735
414482,2991,4e-06,0.006856,0.000334336
360366,2991,7e-06,0.006765,0.000334336
558198,2991,6e-06,0.007293,0.000334336
21125,2991,5e-06,0.004352,0.000334336
347649,2991,5e-06,0.007263,0.000334336
275043,2991,5e-06,0.00726,0.000334336
229005,2991,5e-06,0.006833,0.000334336
352049,2991,6e-06,0.006659,0.000334336
538377,2991,5e-06,0.006879,0.000334336
346879,2991,6e-06,0.00441,0.000334336
660883,2991,4e-06,0.004787,0.000334336
34,2991,3.9e-05,0.006444,0.0113674
5,2991,1.1e-05,0.004481,0.00167168
295395,2991,1.3e-05,0.007185,0.000334336
316410,2991,6e-06,0.005182,0.000334336
453603,2991,6e-06,0.004418,0.000334336
383423,2991,3e-06,0.007054,0.000334336
306733,2991,6e-06,0.007284,0.000334336
59,2991,6.1e-05,0.004718,0.0197258
246304,2991,6e-06,0.006689,0.000334336
1,2991,9e-06,0.006742,0.00100301
299081,2991,6e-06,0.007252,0.000334336
31,2991,3.9e-05,0.007403,0.0103644
368402,2991,5e-06,0.00653,0.000334336
707,2991,1e-05,0.007399,0.00100301
22137,2991,6e-06,0.006594,0.000334336
555879,2991,4e-06,0.007357,0.000334336
-79891,2991,6e-06,0.003989,0.000334336
593112,2991,4e-06,0.005695,0.000334336
655528,2991,6e-06,0.00569,0.000334336
712468,2991,3e-06,0.004494,0.000334336
215337,2991,5e-06,0.006979,0.000334336
511761,2991,6e-06,0.005697,0.000334336
38256,2991,6e-06,0.004112,0.000334336
35289,2991,5e-06,0.004598,0.000334336
37142,2991,6e-06,0.004579,0.000334336
557701,2991,5e-06,0.006838,0.000334336
394470,2991,5e-06,0.006099,0.000334336
130878,2991,6e-06,0.006204,0.000334336
510649,2991,5e-06,0.006784,0.000334336
676523,2991,5e-06,0.006543,0.000334336
1,2991,8e-06,0.006276,0.000334336
598819,2991,5e-06,0.00629,0.000334336
588577,2991,5e-06,0.006283,0.000334336
6,2991,1.1e-05,0.006984,0.00200602
352238,2991,7e-06,0.005586,0.000334336
498601,2991,4e-06,0.006223,0.000334336
552046,2991,4e-06,0.00548,0.000334336
577813,2991,5e-06,0.006386,0.000334336
722342,2991,7e-06,0.006073,0.000334336
158930,2991,3e-06,0.004371,0.000334336
706642,2991,3e-06,0.004875,0.000334336
393633,2991,6e-06,0.004584,0.000334336
32,2991,4.7e-05,0.004123,0.0106988
188182,2991,4e-06,0.004538,0.000334336
435248,2991,4e-06,0.004529,0.000334336
687762,2991,5e-06,0.004174,0.000334336
155185,2991,2e-06,0.004314,0.000334336
222678,2991,3e-06,0.004009,0.000334336
296122,2991,3e-06,0.004144,0.000334336
618518,2991,3e-06,0.006376,0.000334336
302607,2991,5e-06,0.006019,0.000334336
300309,2991,1.1e-05,0.004534,0.000334336
48658,2991,4e-06,0.005068,0.000334336
683378,2991,3e-06,0.004837,0.000334336
343098,2991,5e-06,0.005453,0.000334336
133391,2991,4e-06,0.00433,0.000334336
12,2991,8e-06,0.004392,0.00133735
470248,2991,3e-06,0.005548,0.000334336
724853,2991,5e-06,0.00445,0.000334336
