Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
885,18,0.000501,2.7e-05,49.1667
4,18,3e-06,3e-05,0.111111
473,18,0.000273,2.7e-05,26.2778
2551,18,0.001364,2.6e-05,141.722
11,18,1e-05,2.9e-05,0.611111
516,18,0.000284,2.7e-05,28.6667
20,18,1.7e-05,2.8e-05,1.11111
57605,18,3e-06,3e-05,0.0555556
69,18,3.8e-05,2.8e-05,3.83333
214003,18,3e-06,2.9e-05,0.0555556
251342,18,3e-06,2.9e-05,0.0555556
92676,18,2e-06,3e-05,0.0555556
1,18,2e-06,2.8e-05,0.111111
348937,18,3e-06,3e-05,0.0555556
379486,18,2e-06,2.9e-05,0.0555556
31,18,2.3e-05,2.6e-05,1.72222
429,18,0.000242,2.7e-05,23.8333
17,18,1.4e-05,2.9e-05,0.944444
1,18,4e-06,2.7e-05,0.111111
336260,18,2e-06,2.8e-05,0.0555556
109,18,9.5e-05,4.3e-05,6.05556
8,18,9e-06,2.8e-05,0.444444
30,18,2.1e-05,2.8e-05,1.66667
233599,18,2e-06,4.1e-05,0.0555556
99993,18,4e-06,2.8e-05,0.111111
3299,18,0.001751,2.7e-05,183.278
1037,18,0.000737,2.7e-05,57.6111
59,18,3.6e-05,2.7e-05,3.27778
289285,18,4e-06,2.9e-05,0.0555556
33,18,2.1e-05,3e-05,1.83333
4678,18,0.002945,3.2e-05,259.889
131602,18,4e-06,5.2e-05,0.0555556
17,18,2.1e-05,2.8e-05,0.944444
259,18,0.000235,4.8e-05,14.3889
108,18,7.3e-05,3.1e-05,6
208,18,0.000119,3.2e-05,11.5556
99987,18,1.4e-05,4.6e-05,0.111111
63,18,7.1e-05,4.2e-05,3.5
14,18,5e-06,2.9e-05,0.111111
7,18,8e-06,3.2e-05,0.388889
37,18,2.7e-05,4.4e-05,2.05556
35,18,4.2e-05,4.7e-05,1.94444
10,18,1.6e-05,4e-05,0.555556
927,18,0.000662,3.7e-05,51.5
46,18,5.2e-05,4.4e-05,2.55556
57,18,5.5e-05,2.8e-05,3.16667
5,18,5e-06,3.5e-05,0.166667
1,18,3e-06,4e-05,0.111111
19088,18,4e-06,4.8e-05,0.0555556
1,18,7e-06,4.8e-05,0.222222
9,18,1.4e-05,4.9e-05,0.5
182,18,0.000174,4.8e-05,10.1111
11,18,1.3e-05,4.8e-05,0.611111
1,18,9e-06,4.3e-05,0.222222
27,18,1.9e-05,3.3e-05,1.5
4,18,1.1e-05,3.4e-05,0.111111
39,18,3e-05,2.7e-05,2.16667
21,18,2.3e-05,5e-05,1.16667
1,18,3e-06,2.8e-05,0.111111
6,18,3e-06,3.3e-05,0.111111
48,18,3.3e-05,2.7e-05,2.66667
13,18,1.2e-05,3.2e-05,0.722222
133,18,8.1e-05,3.1e-05,7.38889
6,18,5e-06,3.3e-05,0.333333
325069,18,2e-06,3.5e-05,0.0555556
229,18,0.000134,2.7e-05,12.7222
3,18,5e-06,3.3e-05,0.166667
33,18,4e-05,3e-05,1.83333
7,18,1.2e-05,3.5e-05,0.388889
255,18,0.000167,2.7e-05,14.1667
128557,18,4e-06,4e-05,0.0555556
4,18,6e-06,4.5e-05,0.166667
267832,18,3e-06,3.4e-05,0.0555556
282935,18,2e-06,2.8e-05,0.0555556
395,18,0.00025,2.7e-05,21.9444
286,18,0.000164,2.6e-05,15.8889
1606,18,0.001058,5.1e-05,89.2222
270920,18,5e-06,4.5e-05,0.0555556
183,18,0.000167,4.7e-05,10.1667
301210,18,3e-06,4.7e-05,0.0555556
379,18,0.000265,4.6e-05,21.0556
30,18,4.8e-05,5.3e-05,1.66667
2720,18,0.001963,4.8e-05,151.111
4,18,5e-06,4.7e-05,0.111111
147,18,8.9e-05,2.9e-05,8.16667
253699,18,3e-06,3e-05,0.0555556
20,18,2.4e-05,4.2e-05,1.11111
1339,18,0.00084,4.7e-05,74.3889
131067,18,6e-06,4.3e-05,0.0555556
291614,18,4e-06,3.5e-05,0.0555556
188227,18,4e-06,2.9e-05,0.0555556
2211,18,0.001768,3.1e-05,122.833
18,18,2.1e-05,3.9e-05,1
53069,18,4e-06,4.1e-05,0.0555556
5,18,7e-06,4.2e-05,0.277778
8909,18,0.007488,3.3e-05,494.944
97,18,7.9e-05,2.8e-05,5.38889
8,18,1.1e-05,4e-05,0.444444
542,18,0.000412,4.7e-05,30.1111
1727,18,0.001558,4.5e-05,95.9444
1,18,8e-06,4.7e-05,0.222222
1858,18,0.00166,4.2e-05,103.222
94,18,9.9e-05,4.6e-05,5.22222
58,18,6.3e-05,5.9e-05,3.22222
1,18,8e-06,3.9e-05,0.222222
154489,18,4e-06,4.4e-05,0.0555556
459,18,0.000315,2.7e-05,25.5
1,18,6e-06,3.7e-05,0.111111
11,18,1.3e-05,4e-05,0.611111
51,18,5e-05,2.8e-05,2.83333
178318,18,5e-06,4.2e-05,0.0555556
2024,18,0.001487,5e-05,112.444
2160,18,0.001961,4.7e-05,120
2288,18,0.001862,3e-05,127.111
