Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
697591,13906,1.3e-05,0.022475,7.19114e-05
76481,13906,1.6e-05,0.02865,7.19114e-05
609193,13906,5e-06,0.031334,7.19114e-05
630880,13906,7e-06,0.024489,7.19114e-05
137859,13906,2e-06,0.029599,7.19114e-05
631208,13906,5e-06,0.022499,7.19114e-05
244697,13906,4e-06,0.02315,7.19114e-05
232,13906,0.000189,0.02526,0.0166834
379013,13906,3e-06,0.026926,7.19114e-05
105140,13906,4e-06,0.022241,7.19114e-05
287210,13906,6e-06,0.028578,7.19114e-05
112701,13906,6e-06,0.03226,7.19114e-05
96,13906,8e-06,0.029665,0.000143823
177392,13906,7e-06,0.027546,7.19114e-05
12215,13906,5e-06,0.020491,7.19114e-05
1390,13906,8e-06,0.025785,0.000287646
428872,13906,7e-06,0.027789,7.19114e-05
578738,13906,6e-06,0.0228,7.19114e-05
533006,13906,5e-06,0.027679,7.19114e-05
308571,13906,6e-06,0.02561,7.19114e-05
351560,13906,1e-05,0.020339,7.19114e-05
1435,13906,6e-06,0.020996,0.000143823
758854,13906,4e-06,0.020424,7.19114e-05
672573,13906,4e-06,0.020347,7.19114e-05
647762,13906,4e-06,0.019932,7.19114e-05
53085,13906,4e-06,0.019796,7.19114e-05
7609,13906,5e-06,0.025151,0.000143823
717531,13906,5e-06,0.028681,7.19114e-05
1263,13906,7e-06,0.029387,0.000143823
22,13906,3.5e-05,0.027393,0.00158205
625620,13906,7e-06,0.023709,7.19114e-05
768435,13906,8e-06,0.027266,7.19114e-05
86519,13906,6e-06,0.023893,7.19114e-05
221017,13906,6e-06,0.024078,7.19114e-05
4686,13906,6e-06,0.028533,0.000143823
689535,13906,6e-06,0.026445,7.19114e-05
682025,13906,6e-06,0.029845,7.19114e-05
262266,13906,6e-06,0.0269,7.19114e-05
749472,13906,6e-06,0.023653,7.19114e-05
526970,13906,1.4e-05,0.02946,7.19114e-05
675298,13906,7e-06,0.024445,7.19114e-05
552139,13906,5e-06,0.030366,7.19114e-05
562302,13906,3e-06,0.031304,7.19114e-05
468120,13906,5e-06,0.032935,7.19114e-05
240403,13906,5e-06,0.029288,7.19114e-05
92320,13906,5e-06,0.035154,7.19114e-05
